# --- KİŞİSEL DOĞRUDAN KAYITLAR (Kritik Bölüm) ---
google.com, pub-3738574832974165, DIRECT, f08c47fec0942fa0
unity.com, 8637321, DIRECT, 96cabb5fbdde37a7
pangle.com, 5035651, DIRECT
ads.vk.com, 29569974, DIRECT
mail.ru, 3312584, DIRECT

# --- EK PANGLE (ByteDance) KAYITLARI ---
pangle.global, 5035651, DIRECT
tiktok.com, 5035651, DIRECT

# --- VK / MYTARGET YETKİLİ SATICI (RESELLER) LİSTESİ ---
33across.com, 0015a00003DKg9ZAAT, direct
adagio.io, 1522, reseller
adcolony.com, 1efc6603710003ea, reseller
adcolony.com, 29b7f4a14dc689eb, reseller
adelement.com, 30273, reseller
admanmedia.com, 1009, reseller
admanmedia.com, 2072, reseller
admixer.com, 29569974, reseller
admixer.net, 2878f07c-cc3f-4f8a-a26c-8e6033a539a6, reseller
adriver.ru, 1009202, direct
ads.sber.ru, 29569974, direct
adview.com, 53849096, reseller
adwmg.com, 29569974, reseller
adyoulike.com, f78b24039641337f06634ab9a3da4b48, reseller
algorix.co, 60337, direct
algorix.co, 60322, reseller
appnexus.com, 13817, reseller
appnexus.com, 8178, reseller
appnexus.com, 1356, reseller
axonix.com, 59202, reseller
axonix.com, 56222, reseller
betweendigital.com, 44229, reseller
betweendigital.com, 44088, reseller
betweendigital.com, 43651, reseller
betweendigital.com, 43871, reseller
betweendigital.com, 46880, direct
betweendigital.com, 43092, reseller
betweendigital.com, 44229, direct
betweendigital.com, 43713, reseller
betweendigital.ru, 29569974, direct
bid.mindtos, 29569974, direct
bidease.com, bidease_seller_17, reseller
bidease.com, 29569974, direct
bidmachine.io, 138, reseller
bigo.sg, 29569974, reseller
bigo.sg, 880, direct
brightcom.com, 29559, reseller
buzzoola.com, 17427, reseller
buzzoola.com/ru/, 29569974, direct
byyd.me, 29569974, direct
chocolateplatform.com, 14630, reseller
contextweb.com, 562499, reseller
contextweb.com, 562827, reseller
contextweb.com, 563521, reseller
conversantmedia.com, 100358, reseller
conversantmedia.com, 100246, reseller
conversantmedia.com, 100886, reseller
cpmstar.com, 54453, reseller
dsp.videolink.host, 29569974, direct
e-planning.net, 949b688810cb7439, reseller
e-planning.net, ec771b05828a67fa, reseller
e-planning.net, b9165ad221c51225, reseller
emxdgt.com, 2047, reseller
eskimi.com, eas-2020000005, reseller
gamoshi.io, 267-b4800, reseller
google.com, pub-2843405949989126, reseller
hybrid.ai, 29569974, direct
hyperad.tech, 41, reseller
ignitemediatech.com, 29569974, reseller
